ax,ay,az,gx,gy,gz,d1,d2,d3,d4,target
9619,-7676,10711,-1139,-1066,-904,461.0,465.0,596.0,611.0,0
9847,-7132,10979,-462,-980,-845,461.0,434.0,603.0,611.0,0
10395,-6256,10859,-211,-747,-763,470.0,409.0,588.0,611.0,0
10291,-5920,10971,-1317,-487,-698,461.0,451.0,596.0,611.0,0
9883,-6648,11391,-2056,-284,-579,461.0,447.0,588.0,611.0,0
9583,-6456,12291,-1147,-2160,-309,465.0,430.0,596.0,611.0,0
9731,-6008,11871,-1843,-2816,-364,465.0,417.0,588.0,611.0,0
10267,-6480,11487,-2570,-3313,-395,456.0,430.0,596.0,618.0,0
10347,-7076,10767,-2393,-3171,-311,461.0,430.0,596.0,611.0,0
10347,-7436,10011,-1962,-3017,-231,456.0,417.0,588.0,618.0,0
10531,-7460,9707,-1803,-2438,-274,461.0,425.0,596.0,611.0,0
10807,-7696,9083,-1907,-1898,-499,461.0,405.0,588.0,611.0,0
11043,-7824,8651,-1714,-1017,-570,461.0,430.0,596.0,611.0,0
11383,-8088,8039,-1221,-174,-481,461.0,447.0,596.0,611.0,0
11987,-8084,8071,-1249,848,-541,461.0,425.0,596.0,626.0,0
11887,-8016,7891,-2494,2444,-734,461.0,434.0,588.0,596.0,0
11559,-8964,8603,-2377,3275,-1110,461.0,405.0,581.0,611.0,0
11003,-9104,9943,-1288,3458,-1847,456.0,425.0,588.0,618.0,0
10487,-8176,10415,-461,2537,-2590,461.0,447.0,596.0,611.0,0
9975,-7312,10979,-1064,1763,-3111,461.0,413.0,581.0,618.0,0
9867,-7272,11051,-1752,781,-2724,461.0,405.0,588.0,611.0,0
10211,-7664,10707,-1029,251,-2907,461.0,417.0,588.0,603.0,0
9915,-7068,10863,136,-522,-3172,475.0,438.0,581.0,611.0,0
10207,-5636,10543,1126,-1332,-2804,456.0,425.0,588.0,603.0,0
10583,-4764,10643,452,-1765,-2291,456.0,417.0,596.0,618.0,0
